Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
20,5600,41.1,38.5,11.0,0.0,0.268,86,0,0.0,5600,43.1,40.5,11.0,0.0,0.268,86,0,0.0,5600,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5600,1210,0,0,0,78,64,83,68,5600,0,86,0,0,0,0,0,0,5600,11.0,280.8,269.8,0.750,0.0,38,54.8,0.0,5600,394,300,0,0,0,0,0,0,5600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.740,2.835,1,4,31.1,0.400,1,0,20,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
21,5700,42.0,38.7,12.1,0.0,0.287,86,0,0.0,5700,44.1,40.7,12.1,0.0,0.287,86,0,0.0,5700,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5700,1212,0,0,0,78,65,83,68,5700,0,86,0,0,0,0,0,0,5700,12.1,279.1,267.1,0.750,0.0,38,54.8,0.0,5700,362,300,0,0,0,0,0,0,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.740,2.835,1,4,31.1,0.400,1,0,21,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
22,5800,40.8,36.9,13.1,0.0,0.321,85,0,0.0,5800,42.8,38.8,13.1,0.0,0.321,85,0,0.0,5800,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,5800,1221,0,0,0,78,65,83,68,5800,0,85,0,0,0,0,0,0,5800,13.1,273.8,260.7,0.750,0.0,38,54.8,0.0,5800,259,300,0,0,0,0,0,0,5800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.740,2.835,1,4,31.1,0.400,1,0,22,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
23,5900,44.3,39.5,14.1,0.0,0.318,85,0,0.0,5900,46.5,41.4,14.1,0.0,0.318,85,0,0.0,5900,0.0,0.2,100.8,0.1,54.8,0.0,13.2,0,5900,1224,0,0,0,78,65,83,68,5900,0,85,0,0,0,0,0,0,5900,14.1,273.9,259.8,0.750,0.0,38,54.8,0.0,5900,329,300,0,0,0,0,0,0,5900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3.740,2.835,1,4,31.1,0.400,1,0,23,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
24,6000,46.5,40.7,14.1,0.0,0.303,85,0,0.0,6000,48.9,42.8,14.1,0.0,0.303,85,0,0.0,6000,0.0,0.2,100.8,0.1,54.8,0.1,13.2,0,6000,1226,0,0,0,78,64,83,68,6000,0,85,0,0,0,0,0,0,6000,14.1,273.9,259.7,0.750,0.0,38,54.8,0.1,6000,355,300,0,0,0,0,0,0,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3.740,2.835,1,4,31.1,0.400,1,0,24,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
25,6100,42.8,36.9,11.8,0.0,0.275,85,0,0.0,6100,45.0,38.7,11.8,0.0,0.275,85,0,0.0,6100,0.0,0.1,100.6,0.1,54.7,0.0,13.2,0,6100,1238,0,0,0,78,64,83,68,6100,0,85,0,0,0,0,0,0,6100,11.8,272.2,260.4,0.750,0.0,39,54.7,0.0,6100,211,300,0,0,0,0,0,0,6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.740,2.835,1,4,31.1,0.400,1,0,25,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
26,6200,45.8,38.8,11.4,0.0,0.250,85,0,0.0,6200,48.1,40.7,11.4,0.0,0.250,85,0,0.0,6200,0.0,0.1,100.6,0.0,54.7,0.0,13.2,0,6200,1242,0,0,0,78,64,83,69,6200,0,85,0,0,0,0,0,0,6200,11.4,271.0,259.6,0.750,0.0,39,54.7,0.0,6200,281,300,0,0,0,0,0,0,6200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3.740,2.835,1,4,31.1,0.400,1,0,26,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
27,6300,48.2,40.2,12.4,0.0,0.257,86,0,0.0,6300,50.6,42.2,12.4,0.0,0.257,86,0,0.0,6300,0.0,0.1,100.6,0.1,54.7,0.0,13.2,0,6300,1246,0,0,0,78,64,83,69,6300,0,86,0,0,0,0,0,0,6300,12.4,270.5,258.1,0.750,0.0,39,54.7,0.0,6300,326,300,0,0,0,0,0,0,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.740,2.835,1,4,31.1,0.400,1,0,27,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
28,6400,47.3,38.8,14.7,0.0,0.311,86,0,0.0,6400,49.7,40.8,14.7,0.0,0.311,86,0,0.0,6400,0.0,0.1,100.7,0.1,54.7,0.0,13.2,0,6400,1250,0,0,0,78,64,83,69,6400,0,86,0,0,0,0,0,0,6400,14.7,270.7,255.9,0.750,0.0,38,54.7,0.0,6400,284,300,0,0,0,0,0,0,6400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3.740,2.835,1,4,31.1,0.400,1,0,28,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
29,6500,49.1,39.7,15.3,0.0,0.312,86,0,0.0,6500,51.6,41.7,15.3,0.0,0.312,86,0,0.0,6500,0.0,0.1,100.7,0.1,54.7,0.0,13.2,0,6500,1252,0,0,0,78,64,83,69,6500,0,86,0,0,0,0,0,0,6500,15.3,271.1,255.8,0.750,0.0,39,54.7,0.0,6500,309,300,0,0,0,0,0,0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.740,2.835,1,4,31.1,0.400,1,0,29,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
30,6600,51.8,41.2,15.4,0.0,0.298,86,0,0.0,6600,54.3,43.2,15.4,0.0,0.298,86,0,0.0,6600,0.0,0.1,100.7,0.1,54.7,0.0,13.2,0,6600,1254,0,0,0,78,64,83,69,6600,0,86,0,0,0,0,0,0,6600,15.4,270.9,255.5,0.750,0.0,39,54.7,0.0,6600,345,300,0,0,0,0,0,0,6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3.740,2.835,1,4,31.1,0.400,1,0,30,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
31,6700,53.2,41.7,16.1,0.0,0.302,86,0,0.0,6700,55.9,43.8,16.1,0.0,0.302,86,0,0.0,6700,0.0,0.2,100.8,0.1,54.7,0.0,13.2,0,6700,1255,0,0,0,78,64,83,69,6700,0,86,0,0,0,0,0,0,6700,16.1,271.1,255.1,0.750,0.0,40,54.7,0.0,6700,343,300,0,0,0,0,0,0,6700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3.740,2.835,1,4,31.1,0.400,1,0,31,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
32,6800,52.8,40.8,17.6,0.0,0.334,86,0,0.0,6800,55.4,42.8,17.6,0.0,0.334,86,0,0.0,6800,0.0,0.2,100.9,0.1,54.7,0.0,13.2,0,6800,1258,0,0,0,78,64,83,69,6800,0,86,0,0,0,0,0,0,6800,17.6,273.3,255.7,0.750,0.0,40,54.7,0.0,6800,295,300,0,0,0,0,0,0,6800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3.740,2.835,1,4,31.1,0.400,1,0,32,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
33,6900,53.1,40.4,18.7,0.0,0.352,86,0,0.0,6900,55.8,42.5,18.7,0.0,0.352,86,0,0.0,6900,0.0,0.2,100.9,0.1,54.7,0.0,13.2,0,6900,1264,0,0,0,78,64,83,69,6900,0,86,0,0,0,0,0,0,6900,18.7,275.8,257.1,0.750,0.0,40,54.7,0.0,6900,276,300,0,0,0,0,0,0,6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,3.740,2.835,1,4,31.1,0.400,1,0,33,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
34,7000,55.5,41.7,20.5,0.0,0.370,86,0,0.0,7000,58.3,43.8,20.5,0.0,0.370,86,0,0.0,7000,0.0,0.2,100.9,0.1,54.7,0.0,13.2,0,7000,1270,0,0,0,78,64,83,69,7000,0,86,0,0,0,0,0,0,7000,20.5,277.1,256.5,0.750,0.0,41,54.7,0.0,7000,307,300,0,0,0,0,0,0,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,3.740,2.835,1,4,31.1,0.400,1,0,34,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
35,7100,57.1,42.3,22.0,0.0,0.385,86,0,0.0,7100,60.0,44.4,22.0,0.0,0.385,86,0,0.0,7100,0.0,0.2,100.9,0.1,54.7,0.0,13.2,0,7100,1276,0,0,0,78,65,83,69,7100,0,86,0,0,0,0,0,0,7100,22.0,277.4,255.4,0.750,0.0,41,54.7,0.0,7100,309,300,0,0,0,0,0,0,7100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,3.740,2.835,1,4,31.1,0.400,1,0,35,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
36,7200,58.1,42.4,23.1,0.0,0.398,86,0,0.0,7200,61.0,44.5,23.1,0.0,0.398,86,0,0.0,7200,0.0,0.2,100.8,0.1,54.7,0.0,13.2,0,7200,1283,0,0,0,78,65,83,69,7200,0,86,0,0,0,0,0,0,7200,23.1,278.2,255.0,0.750,0.0,41,54.7,0.0,7200,297,300,0,0,0,0,0,0,7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3.740,2.835,1,4,31.1,0.400,1,0,36,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
37,7300,59.0,42.5,23.1,0.0,0.392,86,0,0.0,7300,61.9,44.6,23.1,0.0,0.392,86,0,0.0,7300,0.0,0.1,100.7,0.1,54.7,0.0,13.2,0,7300,1290,0,0,0,78,65,83,69,7300,0,86,0,0,0,0,0,0,7300,23.1,277.5,254.4,0.750,0.0,42,54.7,0.0,7300,288,300,0,0,0,0,0,0,7300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3.740,2.835,1,4,31.1,0.400,1,0,37,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
38,7400,60.0,42.6,23.1,0.0,0.385,86,0,0.0,7400,62.9,44.7,23.1,0.0,0.385,86,0,0.0,7400,0.0,0.1,100.7,0.1,54.7,0.0,13.2,0,7400,1297,0,0,0,78,65,83,69,7400,0,86,0,0,0,0,0,0,7400,23.1,276.6,253.5,0.750,0.0,42,54.7,0.0,7400,286,300,0,0,0,0,0,0,7400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,3.740,2.835,1,4,31.1,0.400,1,0,38,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
