Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
20,5500,37.7,36,9.7,0,0.256,127,0,0,5500,39.1,37.3,9.7,0,0.256,127,0,0,5500,0,0,99.8,0,54.7,-0.1,13.1,0,5500,1190,0,0,0,75,67,76,67,5500,0,127,0,0,0,0,0,0,5500,9.7,266.5,256.8,0.75,0,27,54.7,-0.1,5500,315,300,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,20,3.74,2.835,1,4,31.1,0.4,1,0,20,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
21,5600,37.4,35.1,11,0,0.294,127,0,0,5600,38.8,36.4,11,0,0.294,127,0,0,5600,0,0,99.8,0,54.8,-0.1,13.1,0,5600,1194,0,0,0,75,67,76,67,5600,0,127,0,0,0,0,0,0,5600,11,268.7,257.7,0.75,0,27,54.8,-0.1,5600,264,300,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,21,3.74,2.835,1,4,31.1,0.4,1,0,21,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
22,5700,39.5,36.4,11,0,0.278,127,0,0,5700,40.9,37.7,11,0,0.278,127,0,0,5700,0,-0.1,99.7,0,54.8,-0.1,13.1,0,5700,1198,0,0,0,75,67,76,67,5700,0,127,0,0,0,0,0,0,5700,11,270.4,259.4,0.75,0,28,54.8,-0.1,5700,296,300,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,22,3.74,2.835,1,4,31.1,0.4,1,0,22,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
23,5800,39.7,35.9,10.9,0,0.276,128,0,0,5800,41.1,37.2,10.9,0,0.276,128,0,0,5800,0,-0.1,99.6,0,54.8,-0.1,13.1,0,5800,1201,0,0,0,75,67,76,67,5800,0,128,0,0,0,0,0,0,5800,10.9,269.8,258.9,0.75,0,27,54.8,-0.1,5800,270,300,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,23,3.74,2.835,1,4,31.1,0.4,1,0,23,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
24,5900,40.8,36.3,11.4,0,0.279,128,0,0,5900,42.3,37.7,11.4,0,0.279,128,0,0,5900,0,-0.1,99.6,0,54.7,-0.1,13.1,0,5900,1207,0,0,0,75,67,76,67,5900,0,128,0,0,0,0,0,0,5900,11.4,271.5,260.1,0.75,0,27,54.7,-0.1,5900,281,300,0,0,0,0,0,0,5900,0,0,0,0,0,0,0,0,24,3.74,2.835,1,4,31.1,0.4,1,0,24,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
25,6000,44.5,38.9,11.6,0,0.261,128,0,0,6000,46.1,40.3,11.6,0,0.261,128,0,0,6000,0,-0.1,99.6,0,54.8,-0.2,13.1,0,6000,1209,0,0,0,75,67,76,67,6000,0,128,0,0,0,0,0,0,6000,11.6,273,261.4,0.75,0,27,54.8,-0.2,6000,352,300,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,25,3.74,2.835,1,4,31.1,0.4,1,0,25,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
26,6100,46.5,40,12.3,0,0.264,128,0,0,6100,48.2,41.5,12.3,0,0.264,128,0,0,6100,0,-0.1,99.6,0,54.8,-0.2,13.1,0,6100,1210,0,0,0,75,67,76,67,6100,0,128,0,0,0,0,0,0,6100,12.3,274.2,261.9,0.75,0,28,54.8,-0.2,6100,369,300,0,0,0,0,0,0,6100,0,0,0,0,0,0,0,0,26,3.74,2.835,1,4,31.1,0.4,1,0,26,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
27,6200,46.1,39.1,14.4,0,0.311,128,0,0,6200,47.8,40.5,14.4,0,0.311,128,0,0,6200,0,-0.1,99.6,-0.1,54.8,-0.2,13.1,0,6200,1213,0,0,0,75,67,76,67,6200,0,128,0,0,0,0,0,0,6200,14.4,274.4,260,0.75,0,28,54.8,-0.2,6200,312,300,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,27,3.74,2.835,1,4,31.1,0.4,1,0,27,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
28,6300,47,39.2,17.6,0,0.374,128,0,0,6300,48.7,40.6,17.6,0,0.374,128,0,0,6300,0,-0.1,99.5,-0.1,54.8,-0.1,13.1,0,6300,1216,0,0,0,75,67,76,68,6300,0,128,0,0,0,0,0,0,6300,17.6,277.1,259.5,0.75,0,28,54.8,-0.1,6300,299,300,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,28,3.74,2.835,1,4,31.1,0.4,1,0,28,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
29,6400,49.3,40.4,19.6,0,0.397,128,0,0,6400,51.1,41.9,19.6,0,0.397,128,0,0,6400,0,-0.1,99.6,-0.1,54.8,-0.2,13.1,0,6400,1218,0,0,0,75,67,76,68,6400,0,128,0,0,0,0,0,0,6400,19.6,278.7,259.1,0.75,0,28,54.8,-0.2,6400,319,300,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,29,3.74,2.835,1,4,31.1,0.4,1,0,29,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
30,6500,50.8,41.1,21.1,0,0.415,128,0,0,6500,52.7,42.6,21.1,0,0.415,128,0,0,6500,0,-0.1,99.6,0,54.8,-0.2,13.1,0,6500,1222,0,0,0,75,67,76,68,6500,0,128,0,0,0,0,0,0,6500,21.1,279.6,258.5,0.75,0,27,54.8,-0.2,6500,313,300,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,30,3.74,2.835,1,4,31.1,0.4,1,0,30,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
31,6600,51.4,40.9,20.9,0,0.406,128,0,0,6600,53.3,42.4,20.9,0,0.406,128,0,0,6600,0,-0.1,99.6,0,54.8,-0.2,13.1,0,6600,1226,0,0,0,75,67,76,68,6600,0,128,0,0,0,0,0,0,6600,20.9,278.5,257.6,0.75,0,27,54.8,-0.2,6600,289,300,0,0,0,0,0,0,6600,0,0,0,0,0,0,0,0,31,3.74,2.835,1,4,31.1,0.4,1,0,31,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
32,6700,53.2,41.7,20.9,0,0.392,128,0,0,6700,55.2,43.3,20.9,0,0.392,128,0,0,6700,0,-0.1,99.7,0,54.9,-0.2,13.1,0,6700,1231,0,0,0,75,67,76,68,6700,0,128,0,0,0,0,0,0,6700,20.9,279.3,258.4,0.75,0,27,54.9,-0.2,6700,298,300,0,0,0,0,0,0,6700,0,0,0,0,0,0,0,0,32,3.74,2.835,1,4,31.1,0.4,1,0,32,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
