Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
20,5600,38.6,36.2,13.2,0.0,0.342,91,0,-0.1,5600,40.5,38.0,13.2,0.0,0.342,91,0,-0.1,5600,-0.1,-0.2,98.5,-0.1,54.6,-0.1,13.1,0,5600,1165,0,0,0,81,68,84,69,5600,0,91,0,0,0,0,0,0,5600,13.2,240.1,226.8,0.750,0.0,37,54.6,-0.1,5600,331,300,0,0,0,0,0,0,5600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.740,2.835,1,4,31.1,0.400,1,0,20,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.3,
21,5700,40.1,37.0,14.5,0.0,0.362,90,0,-0.1,5700,42.1,38.8,14.5,0.0,0.362,90,0,-0.1,5700,-0.1,-0.2,98.6,-0.1,54.6,-0.1,13.1,0,5700,1168,0,0,0,81,68,84,69,5700,0,90,0,0,0,0,0,0,5700,14.5,240.4,225.8,0.750,0.0,37,54.6,-0.1,5700,341,300,0,0,0,0,0,0,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.740,2.835,1,4,31.1,0.400,1,0,21,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.3,
22,5800,41.7,37.8,14.5,0.0,0.347,90,0,-0.1,5800,43.8,39.6,14.5,0.0,0.347,90,0,-0.1,5800,-0.1,-0.1,98.7,-0.1,54.6,-0.1,13.1,0,5800,1170,0,0,0,81,68,84,69,5800,0,90,0,0,0,0,0,0,5800,14.5,239.3,224.8,0.750,0.0,37,54.6,-0.1,5800,345,300,0,0,0,0,0,0,5800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.740,2.835,1,4,31.1,0.400,1,0,22,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.3,
23,5900,41.4,36.8,13.9,0.0,0.336,90,0,-0.1,5900,43.4,38.6,13.9,0.0,0.336,90,0,-0.1,5900,-0.1,-0.1,99.0,0.0,54.6,-0.1,13.1,0,5900,1173,0,0,0,81,68,84,69,5900,0,90,0,0,0,0,0,0,5900,13.9,237.1,223.1,0.750,0.0,38,54.6,-0.1,5900,284,300,0,0,0,0,0,0,5900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3.740,2.835,1,4,31.1,0.400,1,0,23,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
24,6000,43.1,37.7,13.5,0.0,0.313,90,0,-0.1,6000,45.2,39.5,13.5,0.0,0.313,90,0,-0.1,6000,-0.1,0.0,99.2,0.0,54.5,-0.1,13.1,0,6000,1177,0,0,0,81,68,84,69,6000,0,90,0,0,0,0,0,0,6000,13.5,236.2,222.7,0.750,0.0,38,54.5,-0.1,6000,287,300,0,0,0,0,0,0,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3.740,2.835,1,4,31.1,0.400,1,0,24,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
25,6100,46.9,40.4,13.8,0.0,0.294,90,0,-0.1,6100,49.1,42.3,13.8,0.0,0.294,90,0,-0.1,6100,-0.1,0.0,99.1,0.0,54.5,-0.1,13.1,0,6100,1180,0,0,0,81,68,84,70,6100,0,90,0,0,0,0,0,0,6100,13.8,237.5,223.8,0.750,0.0,38,54.5,-0.1,6100,350,300,0,0,0,0,0,0,6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.740,2.835,1,4,31.1,0.400,1,0,25,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
26,6200,48.5,41.1,14.6,0.0,0.301,90,0,-0.1,6200,50.9,43.1,14.6,0.0,0.301,90,0,-0.1,6200,-0.1,-0.1,99.0,0.0,54.5,-0.1,13.1,0,6200,1183,0,0,0,81,68,84,70,6200,0,90,0,0,0,0,0,0,6200,14.6,238.5,223.9,0.750,0.0,38,54.5,-0.1,6200,349,300,0,0,0,0,0,0,6200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3.740,2.835,1,4,31.1,0.400,1,0,26,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
27,6300,45.6,38.0,15.8,0.0,0.347,91,0,0.0,6300,47.8,39.8,15.8,0.0,0.347,91,0,0.0,6300,0.0,-0.2,98.7,-0.1,54.6,-0.1,13.1,0,6300,1193,0,0,0,81,67,84,70,6300,0,91,0,0,0,0,0,0,6300,15.8,237.0,221.2,0.750,0.0,38,54.6,-0.1,6300,221,300,0,0,0,0,0,0,6300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.740,2.835,1,4,31.1,0.400,1,0,27,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
28,6400,48.8,40.1,15.4,0.0,0.315,91,0,0.0,6400,51.2,42.0,15.4,0.0,0.315,91,0,0.0,6400,0.0,-0.2,98.6,-0.1,54.6,-0.1,13.1,0,6400,1199,0,0,0,81,67,84,70,6400,0,91,0,0,0,0,0,0,6400,15.4,236.0,220.6,0.750,0.0,38,54.6,-0.1,6400,285,300,0,0,0,0,0,0,6400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3.740,2.835,1,4,31.1,0.400,1,0,28,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
29,6500,51.6,41.7,14.8,0.0,0.287,91,0,-0.1,6500,54.1,43.7,14.8,0.0,0.287,91,0,-0.1,6500,-0.1,-0.2,98.7,-0.1,54.6,-0.1,13.1,0,6500,1204,0,0,0,81,68,84,70,6500,0,91,0,0,0,0,0,0,6500,14.8,235.2,220.4,0.750,0.0,38,54.6,-0.1,6500,326,300,0,0,0,0,0,0,6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3.740,2.835,1,4,31.1,0.400,1,0,29,1.049,29.30,78.9,24.8,0.25,2211,0.072,38.2,
