Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
31,6700,49.8,39,14.6,0,0.294,93,0,-0.2,6700,52.2,40.9,14.6,0,0.294,93,0,-0.2,6700,-0.2,-0.4,98.4,-0.2,54.3,-0.2,13.1,0,6700,0,0,0,0,79,69,81,70,6700,0,93,0,0,0,0,0,0,6700,14.6,222.5,207.9,0.75,0,76,54.3,-0.2,6700,345,300,0,0,0,0,0,0,6700,0,0,0,0,0,0,0,0,31,3.74,2.835,1,4,31.1,0.4,1,0,31,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
32,6800,52.1,40.2,14.7,0,0.282,93,0,-0.2,6800,54.6,42.2,14.7,0,0.282,93,0,-0.2,6800,-0.2,-0.4,98.3,-0.2,54.3,-0.2,13.1,0,6800,0,0,0,0,79,69,80,70,6800,0,93,0,0,0,0,0,0,6800,14.7,223.3,208.6,0.75,0,77,54.3,-0.2,6800,359,300,0,0,0,0,0,0,6800,0,0,0,0,0,0,0,0,32,3.74,2.835,1,4,31.1,0.4,1,0,32,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
33,6900,53.2,40.5,15.7,0,0.296,93,0,-0.2,6900,55.8,42.4,15.7,0,0.296,93,0,-0.2,6900,-0.2,-0.4,98.4,-0.2,54.3,-0.2,13.1,0,6900,0,0,0,0,79,69,80,70,6900,0,93,0,0,0,0,0,0,6900,15.7,224.4,208.7,0.75,0,77,54.3,-0.2,6900,335,300,0,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,33,3.74,2.835,1,4,31.1,0.4,1,0,33,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
34,7000,53.4,40.1,16.9,0,0.316,93,0,-0.2,7000,56,42,16.9,0,0.316,93,0,-0.2,7000,-0.2,-0.3,98.6,-0.2,54.3,-0.2,13.1,0,7000,0,0,0,0,79,69,81,70,7000,0,93,0,0,0,0,0,0,7000,16.9,224.9,208,0.75,0,77,54.3,-0.2,7000,289,300,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,34,3.74,2.835,1,4,31.1,0.4,1,0,34,1.048,29.43,74.1,59,0.51,1864,0.073,77.6
35,7100,55.5,41.1,18.5,0,0.334,93,0,-0.2,7100,58.2,43,18.5,0,0.334,93,0,-0.2,7100,-0.2,-0.3,98.7,-0.1,54.3,-0.2,13.1,0,7100,0,0,0,0,79,69,81,71,7100,0,93,0,0,0,0,0,0,7100,18.5,225.8,207.3,0.75,0,77,54.3,-0.2,7100,304,300,0,0,0,0,0,0,7100,0,0,0,0,0,0,0,0,35,3.74,2.835,1,4,31.1,0.4,1,0,35,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
36,7200,55.2,40.3,19.7,0,0.357,93,0,-0.2,7200,57.9,42.2,19.7,0,0.357,93,0,-0.2,7200,-0.2,-0.3,98.7,-0.1,54.3,-0.2,13.1,0,7200,0,0,0,0,79,69,81,71,7200,0,93,0,0,0,0,0,0,7200,19.7,225.6,205.9,0.75,0,77,54.3,-0.2,7200,264,300,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,36,3.74,2.835,1,4,31.1,0.4,1,0,36,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
37,7300,56.7,40.8,18.2,0,0.32,93,0,-0.2,7300,59.5,42.8,18.2,0,0.32,93,0,-0.2,7300,-0.2,-0.3,98.7,-0.1,54.3,-0.2,13.1,0,7300,0,0,0,0,79,70,81,71,7300,0,93,0,0,0,0,0,0,7300,18.2,222.2,204,0.75,0,77,54.3,-0.2,7300,277,300,0,0,0,0,0,0,7300,0,0,0,0,0,0,0,0,37,3.74,2.835,1,4,31.1,0.4,1,0,37,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
38,7400,58.2,41.3,18.3,0,0.314,93,0,-0.2,7400,61,43.3,18.3,0,0.314,93,0,-0.2,7400,-0.2,-0.3,98.7,-0.1,54.3,-0.2,13.1,0,7400,0,0,0,0,79,70,81,71,7400,0,93,0,0,0,0,0,0,7400,18.3,221.6,203.3,0.75,0,77,54.3,-0.2,7400,290,300,0,0,0,0,0,0,7400,0,0,0,0,0,0,0,0,38,3.74,2.835,1,4,31.1,0.4,1,0,38,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
39,7500,57,39.9,21.4,0,0.375,93,0,-0.2,7500,59.8,41.8,21.4,0,0.375,93,0,-0.2,7500,-0.2,-0.3,98.6,-0.2,54.3,-0.2,13.1,0,7500,0,0,0,0,79,70,81,71,7500,0,93,0,0,0,0,0,0,7500,21.4,223.8,202.4,0.75,0,77,54.3,-0.2,7500,258,300,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,39,3.74,2.835,1,4,31.1,0.4,1,0,39,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
40,7600,58.7,40.6,22.6,0,0.385,93,0,-0.2,7600,61.6,42.5,22.6,0,0.385,93,0,-0.2,7600,-0.2,-0.3,98.6,-0.2,54.3,-0.2,13.1,0,7600,0,0,0,0,79,70,80,71,7600,0,93,0,0,0,0,0,0,7600,22.6,224,201.4,0.75,0,77,54.3,-0.2,7600,290,300,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0,40,3.74,2.835,1,4,31.1,0.4,1,0,40,1.048,29.43,74.1,59,0.51,1865,0.073,77.6
